ID;Title;Authors;Year;Abstract;Keywords;Database;Manual Decision
328;Bot or Human? Detection of DeepFake Text with Semantic, Emoji, Sentiment and Linguistic Features;"A. T. Y. Chong; H. N. Chua; M. B. Jasser; R. T. K. Wong";2023;Detecting machine-generated text (MGT), also known as Deepfake text, has become increasingly important in Artificial Intelligence (AI) age and social media platforms. With the proliferation of MGT and the potential consequences of its dissemination, there is a pressing need to develop effective methods for distinguishing between MGT and human-written text (HWT). Our research aim has two-fold: firstly, to examine the inherent differences between MGT and HWT on Twitter, and secondly, to develop a classifier specifically designed for MGT detection on the platform. This classifier utilizes contextualized text embeddings as its foundation while considering additional linguistic features, sentiment features, and emoji embeddings. Our experimental results demonstrate that incorporating additional features enhances the model's ability to detect MGT. Combining fine-tuned BERT embeddings with emoji and linguistic features using a multi-layer perceptron classifier achieves the highest accuracy rate of 88.3%. Our analysis reveals distinct characteristics of MGT compared to HWT, including differences in engagement behavior, linguistic patterns, named entities, sentiment expressions, and text perplexity. Our research contributes to the field of MGT detection by offering a comprehensive approach that combines semantic text embeddings with supplementary features. The proposed model provides a significant step forward in addressing the challenge of Deepfake text detection.;"Artificial Intelligence;Machine Learning;Data Mining;Deepfake Detection;Feature Engineering";IEE;FALSCH
335;Audio Deepfake Detection Using Deep Learning;"R. Anagha; A. Arya; V. H. Narayan; S. Abhishek; T. Anjali";2023;The capacity to identify real audio recordings from their modified counterparts is essential in the age of sophisticated digital manipulation for maintaining security and trust in a vari- ety of applications, from media forensics to voice authentication systems. This research aims to create a deep learning model that can distinguish between authentic and altered audio files, with an emphasis on identifying audio deepfakes. The study uses Mel spectrogram representations and data augmentation techniques to effectively extract features from the ASV spoof 2019 dataset and train models. Convolutional neural networks (CNNs) comprising a number of layers, including convolutional, pooling, batch normalization, ReLU activation, dropout, global average pooling, and a dense classification layer are used as the foundation of the design. The Adam optimizer is used to optimize the model once it has been trained using binary cross-entropy loss, and a variety of metrics, such as accuracy, F1 score, ROC curve, and AUC, are used to track its performance. By making it easier to identify audio deepfakes, this project will ultimately increase the security and integrity of audio data in the digital world.;"Audio Deepfake Detection;Deep Learning;Convolutional Neural Network (CNN);Mel Spectrogram;ASVspoof 2019 Dataset;Binary Classification;Feature Extraction;Perfor- mance Metrics";IEE;FALSCH
347;Deepfake Speech Detection Through Emotion Recognition: A Semantic Approach;"E. Conti; D. Salvi; C. Borrelli; B. Hosler; P. Bestagini; F. Antonacci; A. Sarti; M. C. Stamm; S. Tubaro";2022;In recent years, audio and video deepfake technology has advanced relentlessly, severely impacting peoples reputation and reliability. Several factors have facilitated the growing deepfake threat. On the one hand, the hyper-connected society of social and mass media enables the spread of multimedia content worldwide in real-time, facilitating the dissemination of counterfeit material. On the other hand, neural network-based techniques have made deepfakes easier to produce and difficult to detect, showing that the analysis of low-level features is no longer sufficient for the task. This situation makes it crucial to design systems that allow detecting deepfakes at both video and audio levels. In this paper, we propose a new audio spoofing detection system leveraging emotional features. The rationale behind the proposed method is that audio deepfake techniques cannot correctly synthesize natural emotional behavior. Therefore, we feed our deepfake detector with high-level features obtained from a state-of-the-art Speech Emotion Recognition (SER) system. As the used descriptors capture semantic audio information, the proposed system proves robust in cross-dataset scenarios outperforming the considered baseline on multiple datasets.;"deepfake;audio forensics;deep learning";IEE;FALSCH
376;Speech Audio Deepfake Detection via Convolutional Neural Networks;"L. P. Valente; M. M. S. de Souza; A. M. D. Rocha";2024;The production of artificial media content brings on ethical, legal and social implications for journalism, education, entertainment and industry. Software tools are currently available for anyone who intent to maliciously generate or tamper with digital audio voices. In this context, detecting voice authenticity is important to avoid the consequences of its criminal use. Here, we propose the application of convolutional neural networks (CNN) and Mel spectograms in detection of artificially generated voices. Supervised experiments with speech samples signals, collected from several voice datasets, were conducted to find the best CNN topology that performs the detection, in terms of accuracy, regardless of the language spoken. The best accuracy scores found are: 99% for the FoR dataset, 94% for the ASV and 98% for the WaveFake. Training the model with all datasets together, and testing with individual datasets, yields accuracies of 98% for the FoR base, 92% for the ASV and 96% for WaveFake. These results are compatible with those found in state-of-the-art, proving the viability of the model.;"Forensics analysis;Deepfake;Voice cloning;Computer vision;Machine learning;Deep learning";IEE;FALSCH
387;Deepfake Audio Detection: A Deep Learning Based Solution for Group Conversations;"R. L. M. A. P. C. Wijethunga; D. M. K. Matheesha; A. A. Noman; K. H. V. T. A. De Silva; M. Tissera; L. Rupasinghe";2020;The recent advancements in deep learning and other related technologies have led to improvements in various areas such as computer vision, bio-informatics, and speech recognition etc. This research mainly focuses on a problem with synthetic speech and speaker diarization. The developments in audio have resulted in deep learning models capable of replicating natural-sounding voice also known as text-to-speech (TTS) systems. This technology could be manipulated for malicious purposes such as deepfakes, impersonation, or spoofing attacks. We propose a system that has the capability of distinguishing between real and synthetic speech in group conversations.We built Deep Neural Network models and integrated them into a single solution using different datasets, including but not limited to Urban-Sound8K (5.6GB), Conversational (12.2GB), AMI-Corpus (5GB), and FakeOrReal (4GB). Our proposed approach consists of four main components. The speech-denoising component cleans and preprocesses the audio using Multilayer- Perceptron and Convolutional Neural Network architectures, with 93% and 94% accuracies accordingly. The speaker diarization was implemented using two different approaches, Natural Language Processing for text conversion with 93% accuracy and Recurrent Neural Network model for speaker labeling with 80% accuracy and 0.52 Diarization-Error-Rate. The final component distinguishes between real and fake audio using a CNN architecture with 94 % accuracy. With these findings, this research will contribute immensely to the domain of speech analysis.;"Deep Neural Networks;Natural Language Processing;Speaker Diarization;Deepfake;Deep learning";IEE;FALSCH
416;Document Image Forgery Detection Based on Deep Learning Models;"P. Yang; W. Fang; F. Zhang; L. Bai; Y. Gao";2022;With the improvement of the communication speed and the popularization of the Internet, images have become the most common information medium in life. At the same time, the adverse effects of forged images in the media, credit investigation, finance and academic fields are becoming more and more significant. Therefore, in recent years, the research on forged image identification algorithms has been active worldwide. Image forgery has different classification methods. According to whether the forgery uses deep learning methods, it can be divided into deep forged images and traditional forged images. It can also be divided into ordinary image forged and document image forged according to whether the image is a text image. Different forgery methods will leave different forgery traces in the image, corresponding to different forgery identification methods. Aiming at document forgery images, this paper proposes a forgery detection algorithm based on deep learning and fusion of error level analysis (ELA) information. Compared with the previous forgery identification algorithms, the algorithm in this paper can not only identify whether the document image is forged, but can also locate the forged text area. The algorithm proposed in this paper supports the detection of document image forgery generated by cutting, copying, erasing and deep learning methods. The detection algorithm of this paper participated in the fifth forgery detection competition of Ali Tianchi and won the 32nd place among 1470 participating teams.;"Document Image Forgery Identification;Deep Learning;ELA Image Processing";IEE;FALSCH
847;Detection of AI-Generated Images From Various Generators Using Gated Expert Convolutional Neural Network;"R. Ahmad Fattah Saskoro; N. Yudistira; T. Noor Fatyanosa";2024;The rapid advancement of artificial intelligence (AI), particularly in text-to-image generative models, has led to a proliferation of synthetic images. This progress, while remarkable, raises concerns about misuse in fraudulent activities. To address this issue, we propose a Convolutional Neural Network (CNN)-based approach for classifying AI-generated images from multiple generators. We introduce a gated CNN model that leverages mixed datasets for improved training efficiency and performance. This approach eliminates the need for extensive tuning with each new dataset and mitigates the risk of catastrophic forgetting. Our experiments demonstrate that the gated CNN model slightly outperforms traditional single CNN models, providing a more robust solution for identifying AI-generated images. This paper presents a comprehensive comparison of methods and offers insights into enhancing the classification of AI-generated images.;"AI-generated images;CNN;gated network;image classification";IEE;WAHR
868;Detection of Diffusion Model-Generated Faces by Assessing Smoothness and Noise Tolerance;"B. Liu; B. Liu; M. Ding; T. Zhu";2024;The fast growth of artificial intelligence (AI) raises much concern about the misinformation brought by AI-generated content (AIGC), especially Deepfake techniques that generate fake human faces. The recent development of Diffusion Models (DMs) moves another critical step forward to generate high-resolution and realistic human faces, which has become a challenge for existing Deepfake detectors. In this paper, we propose a DM-generated image detector by looking into the generation pipeline of DMs and the details of DM-generated images. The detector is based on the observation that DM-generated human faces show over-smooth textures and do not contain details as real human faces. Through a comprehensive analysis of DM-generated faces in spatial and frequency domains, we noticed that the over-smoothness improves the tolerance of Gaussian noise since excessive smoothness mitigates some of the impact of noise. Inspired by the observations, we propose a Deepfake detector capable of recognizing challenging DM-generated faces. We mainly propose the Noise Residual Unit (NRD) in our framework to collect the frequency response of images to Gaussian noise as distinctive features for classification. In detail, for an input face image, we add Gaussian noise to it and get the noise-degraded image. Then, the NRU generates the Noise Residual Image (NRI) by calculating the residual of the high-pass-filtered original image and the high-pass-filtered degraded image. The NRI indicates the high-frequency impact brought by the Gaussian noise and, therefore, suggests the tolerance of the original image to noise degradation. The original image and NRI are encoded and fused to obtain the joint representation, which is then fed to a classifier to predict the binary label. We conducted comprehensive experiments to evaluate the effectiveness of the proposed detector. The results indicate that our proposed detector achieves state-of-the-art detection performance on DM-generated faces and generalizes well to unseen DM-generated and GAN-generated face datasets.;"Deepfake detection;diffusion models;frequency analysis";IEE;WAHR
873;A Multi-Layer Capsule-based Forensics Model for Fake Detection of Digital Visual Media;"S. S. Khalil; S. M. Youssef; S. N. Saleh";2021;The dangers generated from synthesized multimedia are increasing every day. The creation of the so-called Deepfakes multimedia is vastly evolving, making the detection task harder every day. Researchers and corporations are interested in exploring the technology limits and are coming up with new tools every year to create more robust fake media. In this paper, a new enhanced fake video detection model is introduced addressing many of the face-swapping threats and the low generalization problem. A preprocessing stage is proposed to minimize the noise in the data to enhance their quality. The proposed architecture uses a modified application of capsule neural networks (CapsNet) with an enhanced routing technique. It does not require a lot of training data and generates a small number of training parameters making it fast to build. The model was trained and tested using the DFDC-P dataset and the results have proven that it outperformed other detectors in terms of detection recall, weighted precision, and F1 score.;"deepfake detection;capsule network;capsnet";IEE;WAHR
874;Detecting Synthetic Speech Manipulation in Real Audio Recordings;"M. Hafizur Rahman; M. Graciarena; D. Castan; C. Cobo-Kroenke; M. McLaren; A. Lawson";2022;"Recent advances in artificial speech and audio technologies have improved the abilities of deep-fake operators to falsify media and spread malicious misinformation. Anyone with limited coding skills can use freely available speech synthesis tools to create convincing simulations of influential speakers voices with the malicious intent to distort the original message. With the latest technology, malicious operators do not have to generate an entire audio clip; instead, they can insert a partial manipulation or a segment of synthetic speech into a genuine audio recording to change the entire context and meaning of the original message. Detecting these insertions is especially challenging because partially manipulated audio can more easily avoid synthetic speech detectors than entirely fake messages can. This paper describes a potential synthetic speech detection system based on the x-ResNet architecture with a probabilistic linear discriminant analysis (PLDA) backend. Experimental results suggest that the PLDA backend results in a 25% average error reduction among partially synthesized datasets over a non-PLDA baseline.";"partial synthetic speech;synthetic speech detection;anti-spoof;x-ResNet;PLDA";IEE;FALSCH
878;A Dataless FaceSwap Detection Approach Using Synthetic Images;"A. Jain; N. Memon; J. Togelius";2022;Face swapping technology used to create Deepfakes has advanced significantly over the past few years and now enables us to create realistic facial manipulations. Current deep learning algorithms to detect deepfakes have shown promising results, however, they require large amounts of training data, and as we show they are biased towards a particular ethnicity. We propose a deepfake detection methodology that eliminates the need for any real data by making use of synthetically generated data using Style-GAN3. This not only performs at par with the traditional training methodology of using real data but it shows better generalization capabilities when finetuned with a small amount of real data. Furthermore, this also reduces biases created by facial image datasets that might have sparse data from particular ethnicities. To promote reproducibility the code base has been made publicly available 11https://github.com/anubhav1997/youneednodataset;;IEE;WAHR
880;DFP-Net: An explainable and trustworthy framework for detecting deepfakes using interpretable prototypes;"F. Khalid; A. Javed; K. M. Malik; A. Irtaza";2023;The rise of deepfake videos poses a serious threat to the authenticity of visual media, as they have a potential to manipulate public opinion, mislead individuals or groups, harm reputation, etc. Traditional methods for detecting deepfakes rely on deep learning models, which lack transparency and interpretability. To gain the confidence of forensic experts in AI-based deepfakes detector, we present a novel DFP-Net for detecting deepfakes using interpretable and explainable prototypes. Our method makes use of the power of prototype-based learning to generate a set of representative images that capture the essential features of genuine and deepfake images. These prototypes are then used to explain our models decision-making process and to provide insights into the features most relevant for deepfake detection. We then use these prototypes to train a classification model that can detect deepfakes accurately and with high interpretability. To further improve the interpretability of our method, we also utilize the Grad-CAM technique to generate heatmaps that highlight the regions of the image that contribute the most towards the decision of the model. These heatmaps can be used to explain the reasoning behind the models decision and provide insights into the visual cues that distinguish deepfakes from real images. Experimental results on a large-scale FaceForensics++, Celeb-DF and DFDC-P datasets demonstrate that our method achieves state-of-the-art performance in deepfakes detection. Moreover, the interpretability and explainability of our method make it more trustworthy to forensic experts by allowing them to understand how the model works and makes predictions.;"Deepfakes detection;DFP-Net;Interpretable prototypes;Explainable AI;FaceForensics++";IEE;WAHR
892;Exposing DeepFakes Using Convolutional Neural Networks and Transfer Learning Approaches;"S. Suratkar; F. Kazi; M. Sakhalkar; N. Abhyankar; M. Kshirsagar";2020;Advancements in Artificial Intelligence - oriented computing power and the ever-growing reach of social media have proven to be catalysts in emergence and spread of a new vein of AI generated fake videos known as 'DeepFake' videos. Such videos are synthesized using generative machine learning models like Generative Adversarial Networks or Variational AutoEncoders and they can achieve high degrees of realism. Spread of sensitive political or obscene content in form of such videos may lead to social distress to the target entity(s). This paper presents a study pertinent to the detection of DeepFake videos using Convolutional Neural Networks (CNNs) with transfer learning. A comparative study of the performance of various models in the detection of tampered videos has been presented. These models are trained (fine-tuned) and tested on a custom dataset encompassing randomly selected labelled frames from videos in the DeepFake Detection Dataset by Google AI and FaceForensics++ dataset.;"Convolutional Neural Networks;Generative Adversarial Networks;Transfer Learning;Visual Geometry Group;DenseNet;Xception;Inception V3";IEE;WAHR
900;Art of Detection: Custom CNN and VGG19 for Accurate Real Vs Fake Image Identification;"H. V; K. P; M. A";2023;In the current digital age, the ability to distinguish between real and manipulated images has become crucial due to the proliferation of doctored images. This research aims to address this challenge by employing two distinct neural network architectures: a custom Convolutional Neural Network (CNN) and the pre-trained VGG19 model for the classification of real versus fake images. Experimental results reveal that the custom CNN achieved a noteworthy accuracy of 94.46%, outperforming the VGG19 model, which secured an accuracy of 84.24%. Such findings suggest that while pre-trained models like VGG19 bring significant value to image classification tasks, a tailored CNN can offer superior performance for specialized tasks such as detecting image authenticity. This study provides a foundation for further exploration in image forensics, emphasizing the importance of model selection and optimization in combating digital image manipulations.;"Detecting image authenticity;Convolutional Neural Network (CNN);VGG19 Model;Image Classification";IEE;WAHR
905;Lip Sync Matters: A Novel Multimodal Forgery Detector;"S. A. Shahzad; A. Hashmi; S. Khan; Y. -T. Peng; Y. Tsao; H. -M. Wang";2022;Deepfake technology has advanced a lot, but it is a double-sided sword for the community. One can use it for beneficial purposes, such as restoring vintage content in old movies, or for nefarious purposes, such as creating fake footage to manipulate the public and distribute non-consensual pornography. A lot of work has been done to combat its improper use by detecting fake footage with good performance thanks to the availability of numerous public datasets and unimodal deep learning-based models. However, these methods are insufficient to detect multimodal manipulations, such as both visual and acoustic. This work proposes a novel lip-reading-based multi-modal Deepfake detection method called Lip Sync Matters. It targets high-level semantic features to exploit the mismatch between the lip sequence extracted from the video and the synthetic lip sequence generated from the audio by the Wav2lip model to detect forged videos. Experimental results show that the proposed method outperforms several existing unimodal, ensemble, and multimodal methods on the publicly available multimodal FakeAVCeleb dataset.;;IEE;WAHR
911;Countering Deepfakes using an Improved Advanced CNN and its Ensemble with Pretrained Models;"A. Mathur; M. Tejpal; K. Bhargava; K. Natarajan; M. Singh";2024;The extensive spread of DeepFake images on the internet has emerged as a significant challenge, with applications ranging from harmless entertainment to harmful acts like blackmail, misinformation, and spreading false propaganda. To tackle this issue, this paper introduces a sophisticated DeepFake detection model designed to identify and mitigate the increase of these deceptive images. The model architecture integrates an ensemble approach, combining the strengths of two pre-trained Convolutional Neural Network (CNN) modelsMobileNet and Xceptionwith a novel CNN architecture, the Advanced CNN (ACNN). This rigorous validation process enabled the model to achieve a high accuracy rate of 97.89% in detecting DeepFakes. The successful implementation of this ensemble CNN approach demonstrates its effectiveness in distinguishing between real and fabricated imagery with high precision. This research makes a substantial contribution to the field of digital image forensics, offering a reliable tool for stakeholders across various sectors to identify and counteract the spread of DeepFake images online.;"DeepFake Detection;Convolutional Neural Networks (CNN);MobileNet;Xception;Advanced CNN (ACNN);Ensemble Learning;Generative Adversarial Networks (GANs)";IEE;WAHR
914;Detection of Photoplethysmography Manipulation in Video Forgery;"Y. Lin; E. Maiorana; B. Li; P. Campisi";2023;Recent studies have shown that physiological signals related to blood pressure and heart rate can be estimated in a contactless modality from facial videos using remote photoplethysmography (rPPG). This has paved the way to the development of techniques that can acquire and manipulate the rPPG signals recoverable from facial videos without affecting their visual appearance. The goal of this paper is to analyze the detectability of this new kind of forgery, here referred to as rPPG deepfake videos. Specifically, we propose a two-stream method based on the analysis of rPPG deepfake videos at both spatial and temporal levels. The experimental results obtained from tests performed on samples taken from two distinct databases demonstrate that our method performs better than popular deep learning methods in the rPPG deepfake detection task.;"Remote photoplethysmography (rPPG);Face forgery detection;Video forensics";IEE;WAHR
918;Using Grayscale Frequency Statistic to Detect Manipulated Faces in Wavelet-Domain;"G. -J. Wang; W. Li; Q. Jiang; X. Jin; X. -H. Cui";2021;Manipulating facial images results in negative influences on the social association, with deep generative models. Although many detection methods have been proposed, they have either designed sophisticated neural networks that lack enough interpretability, or found defects specific to one manipulation method. To address this issue, we propose a new approach to explore the defects of fake facial images after wavelet transform and call it GFS (Grayscale Frequency Statistics). First, we utilize Haar wavelet transformation to decompose the image into low-frequency approximation, horizontal detail, vertical detail, and diagonal detail. The GFS of real and fake images exhibit different distribution and forms in these four subbands. We qualitatively analyze these differences and quantify them as weights. Then, these four subband images are used to train four CNNs respectively, and the obtained detection results also verify the differences in GFS. After that, we combine the prediction results of the four CNNs and the corresponding weights to further improve the detection performance. We conduct extensive experiments on 11 datasets generated by various facial manipulation methods, and the superior results show the effectiveness of our proposed approach. Our findings indicate that the fake images generated by the current facial manipulation methods cannot simulate real images in wavelet-domain.;;IEE;WAHR
925;Detecting Forged Facial Videos Using Convolutional Neural Networks;"N. Sambhu; S. Canavan";2023;In this paper, we propose to detect forged videos, of faces, in online videos. To facilitate this detection, we propose to use smaller (fewer parameters to learn) convolutional neural networks (CNN), for a data-driven approach to forged video detection. To validate our approach, we investigate the Face-Forensics public dataset detailing both frame-based and video-based results. The proposed method is shown to outperform current state of the art. We also perform an ablation study, analyzing the impact of batch size, number of filters, and number of network layers on the accuracy of detecting forged videos.;"deepfake;convolutional neural network;videos;deep learning";IEE;WAHR
931;Deep Fakes Image Animation Using Generative Adversarial Networks;"A. K. Manjula; R. Thirukkumaran; K. H. Raj; A. Athappan; R. P. Reddy";2022;The idea of picture activity is for the most part moving the pictures at a specific speed so the unaided eye can't detect the distinction. We intend to do the investigation so that for certain adjustments to the current structure that is the deepfake that does the examination without earlier information on the movement target. To do this, We will be training a dataset on a bunch of pictures and recordings for objects of a similar class (e.g., face, body, road view). As of late, a few uses of neural organizations (CNNs) have been applied to the genuine human head. The informational index can be prepared on many pictures and recordings to make practical talking heads. You can energize the first picture of an individual into an objective individual posture (driving video) while safeguarding the individual's appearance and body. In the mean time, in any case, frameworks are being fostered that can recognize recordings and activities produced by Deep-Fakes. Since this is a significant security issue. We energized pictures to create talking heads and tried different things with picture age Using the Deep-Fakes age's contingent generative threatening organization, the outcomes were reasonable. Likewise executed Deep-Fake Detector XceptionNet (a Deep Learning Algorithm that Detects Face Swaps in Videos) with slight adjustments to arrive at 95° exactness when identifying Deep-Fake. At last, you can without much of a stretch idiot Deepfake identifiers by executing an as of late acquainted method with quit making Deep-Fakes. XceptionNet had the option to accomplish a precision of under 30 in recognizing the Deep-Fake age when maddened.;"DeepFakes;ImageAnimation;GANS;Generative Adversarial Networks;cGanz;Co-lab;video;MonkeyNET";IEE;WAHR
932;Combating Deepfakes: Multi-LSTM and Blockchain as Proof of Authenticity for Digital Media;"C. C. Ki Chan; V. Kumar; S. Delaney; M. Gochoo";2020;"Malicious use of deep learning algorithms has allowed the proliferation of high realism fake digital content such as text, images, and videos, to exist on the internet as readily available and accessible consumable content. False information provided through algorithmically modified footage, images, audios, and videos (known as deepfakes), coupled with the virality of social networks, may cause major social unrest. The emergence of misinformation from fabricated digital content suggests the necessity for anti-disinformation methods such as deepfake detection algorithms or immutable metadata in order to verify the validity of digital content. Permissioned blockchain, notably Hyperledger Fabric 2.0, coupled with LSTMs for audio/video/descriptive captioning is a step towards providing a feasible tool for combating deepfake media. Original content would require the original artist attestation of untampered data. The smart contract combines a varied multiple LSTM networks into a process that allows for the tracing and tracking of a digital content's historical provenance. The result is a theoretical framework that enables proof of authenticity (PoA) for digital media using a decentralized blockchain using multiple LSTMs as a deep encoder for creating unique discriminative features; which is then compressed and hashed into a transaction. Our work assumes we trust the video at the point of reception. Our contribution is a decentralized blockchain framework of deep discriminative digital media to combat deepfakes.";"artificial intelligence;blockchain;computer vision;deepfake;smart contracts";IEE;WAHR